article_title;image;partof;location;actor;dateStart;dateEnd;person
Pembantaian Santa Cruz;Sebastião Gomes grave.jpg;"Pendudukan Indonesia di Timor Timur
Genosida Timor Timur";Dili;Warga Timor Timur;1991-11-12;1991-11-12;
Tragedi Trisakti;Trisakti shooting schematics.png;Kerusuhan Mei 1998;Jakarta;"Universitas Trisakti
Tentara Nasional Indonesia Angkatan Darat";1998-05-12;1998-05-12;"Elang Mulia Lesmana
Heri Hertanto
Hafidin Royan
Hendriawan Sie"
Pembantaian Gereja Liquiçá;;;Distrik Liquiçá;Umat Katolik Timor Timur;1999-04-00;1999-04-00;
Pembantaian Gereja Suai;Gedenksteine Suai-Massaker.jpg;;Suai;Umat Katolik Timor Timur;1999-09-06;1999-09-06;
Pembantaian di Indonesia 1965–1966;Anti PKI Literature.jpg;Perang Dingin dan Transisi ke Orde Baru;Indonesia;"PKI
Gerwani
Abangan Jawa";1965-00-00;1966-00-00;
Penculikan aktivis 1997/1998;activistsindonesiakidnappings.JPGborder;;Indonesia;;1997-00-00;1998-00-00;
Insiden Penembakan Timika 1996;;Konflik Papua;Bandar Udara Timika;;1996-04-15;1996-04-15;Letnan Dua Sanurip
Pembakaran Plaza Sentral Klender;;Kerusuhan Mei 1998;Plaza Sentral Klender, Jl. I Gusti Ngurah Rai No. 13, Duren Sawit, Jakarta Timur, DKI Jakarta;;1998-05-14;1998-05-14;
Genosida Timor Timur;Sebastião Gomes grave.jpg;Pendudukan Indonesia di Timor Leste;"Timor Leste ";;1975-00-00;1999-00-00;
Pembantaian Beutong Ateueh;;Konflik Aceh;Blang Meurandeh;"Korem 011/Lilawangsa
Batalyon 328 Kostrad";1999-07-23;1999-07-23;
