article_title,nama,tahun
Partai Persatuan Pembangunan,Partai Persatuan Pembangunan,1973-01-5
Partai Demokrasi Rakyat Indonesia,Partai Demokrasi Rakyat Indonesia,2016-00-00
Partai Demokrasi Indonesia Perjuangan,Partai Demokrasi Indonesia Perjuangan,1973-01-10
Partai Patriot (Indonesia),Partai Patriot,2001-06-01
Partai Penegak Demokrasi Indonesia,Partai Penegak Demokrasi Indonesia,1973-01-10
Partai Nasional Indonesia,Partai Nasional Indonesia,1927-07-04
Partai Gerakan Indonesia Raya,Partai Gerakan Indonesia Raya,2008-02-06
Partai Persatuan Indonesia,Partai Persatuan Indonesia,2014-10-08
Partai Golongan Karya,Partai Golongan Karya,1964-10-20
Partai Amanat Nasional,Partai Amanat Nasional,1998-08-23
Partai Nasional Indonesia - Front Marhaenis,Partai Nasional Indonesia - Front Marhaenis,1999-02-10
