key,place

Pendudukan Indonesia atas Timor Timur,Timor Timur

Pemberontakan di Aceh,Aceh

Pemberontakan di Aceh,Indonesia

Peristiwa Arfai,Manokwari

Peristiwa Arfai,Irian Jaya

Kerusuhan Sambas,Sambas

Pertempuran Sungei Koemba,Kalimantan

Krisis Timor Timur 1999,Timor Leste

Operasi Trikora,Irian Barat

Gerakan 30 September,Lubang Buaya

Pertempuran Laut Aru,Laut Arafura

Pertempuran Laut Aru,Indonesia

Kerusuhan Poso,Kabupaten Poso

Krisis sandera Mapenduma,"Mapenduma, Jayawijaya"

Krisis sandera Mapenduma,Irian Jaya

Krisis sandera Mapenduma,Provinsi Papua

Krisis sandera Mapenduma,Indonesia

Konflik Papua,Papua (wilayah Indonesia)

Konflik Papua,Papua Nugini

Serangan ke Limbang,Limbang

Serangan ke Limbang,Sarawak

Serangan ke Limbang,Borneo

Pendaratan di Labis,Labis

Pendaratan di Labis,Johor

Pendaratan di Labis,Malaysia

Operasi Jayapura 1976,Kabupaten Jayapura

Operasi Jayapura 1976,Irian Jaya

Invasi Indonesia ke Timor Timur,Timor Timur

Operasi militer Indonesia di Aceh 1990-1998,Aceh

Operasi militer Indonesia di Aceh 1990-1998,Indonesia

Konfrontasi Indonesia–Malaysia,Semenanjung Malaka

Konfrontasi Indonesia–Malaysia,Kalimantan

