Pemberontakan DI/TII di Aceh,1953-09-20,
Pertempuran Lima Hari,1945-10-15,1945-10-19
Pertempuran Bojong Kokosan,1945,
Pertempuran Lengkong,1946-01-25,
Bandung Lautan Api,1946-03-24,1946-04-24
Perang Cumbok,1945-12-02,1946-01-16
Delapan Jam Pertempuran di Mangkang,1946,
Puputan Margarana,1946-11-20,
Perang Dayak Desa,1944,1945-06-00
Gerakan 30 September,1965-09-30,1965-10-01
Kampanye Kalimantan (1945),1945–05-01 ,1945-08-15
Pertempuran Medan Area,1945-10-13,1946-04-15
Serangan Umum Surakarta,1949-08-07,
Serangan Umum 1 Maret 1949,1949-03-01,
Penyerbuan Kotabaru Yogyakarta,1945-10-07,
Pertempuran Surabaya,1945-10-27,1945-11-20
Peristiwa 19 November,1945-11-19,
Peristiwa Tiga Maret,1947-03-03,
Pertempuran Kumai,1946-01-14,
Revolusi Nasional Indonesia,1945–09-29 ,1949-12-27
Kampanye Hindia Belanda,1941-12-08,1942-03-09
Operasi 17 Agustus,1958-04-17,1958-05-24
Konflik Papua,1962-10-01,
