key,place;
Pemberontakan DI/TII di Aceh,Aceh;
Pertempuran Lima Hari,Semarang;
Pertempuran Bojong Kokosan,Sukabumi;
Pertempuran Lengkong,Desa Lengkong;
Bandung Lautan Api,Bandung;
Perang Cumbok,Kabupaten Pidie;
Delapan Jam Pertempuran di Mangkang,Semarang;
Puputan Margarana,Desa Marga;
Perang Dayak Desa,Sanggau;
Gerakan 30 September,Kelurahan Lubang Buaya;
Kampanye Kalimantan (1945),Kalimantan;
Pertempuran Medan Area,Medan;
Serangan Umum Surakarta,Surakarta;
Serangan Umum 1 Maret 1949,Yogyakarta;
Penyerbuan Kotabaru Yogyakarta,Kotabaru;
Pertempuran Surabaya,Surabaya;
Peristiwa 19 November,Kabupaten Kolaka;
Peristiwa Tiga Maret,Bukittinggi;
Pertempuran Kumai,Kumai;
Revolusi Nasional Indonesia,Indonesia;
Kampanye Hindia Belanda,Hindia Belanda;
Operasi 17 Agustus,Padang;
Konflik Papua,Papua;
Konflik Papua,Papua Nugini;
